PeriodId,cHRev-133-farreplacerandom,AuthorshipRec-134-farreplacerandom,RevOwnRec-135-farreplacerandom,RetentionRec-136-farreplacerandom,LearnRec-137-farreplacerandom,TurnoverRec-138-farreplacerandom,WhoDo-139-farreplacerandom,cHRev-141-add,AuthorshipRec-142-add,RevOwnRec-143-add,RetentionRec-144-add,LearnRec-145-add,TurnoverRec-146-add,WhoDo-147-add,TurnoverRec-148-addAndReplace,TurnoverRec-149-addHoarded_2,TurnoverRec-150-addHoarded_3,TurnoverRec-151-addHoarded_4
4,-8.53658536585366,-7.3170731707317,-1.21951219512195,8.53658536585367,-17.0731707317073,9.14634146341464,-9.75609756097561,29.2682926829268,29.2682926829268,34.1463414634146,48.780487804878,17.6829268292683,48.780487804878,25,20.7317073170732,37.1951219512195,33.5365853658537,29.8780487804878
5,-5.37261698440208,-10.3986135181976,3.63951473136914,10.7452339688042,-14.3847487001733,7.79896013864818,-14.9046793760832,24.7833622183709,20.2772963604853,34.4887348353553,42.8076256499133,17.6776429809359,39.6880415944541,16.8110918544194,13.1715771230503,27.3830155979203,24.4367417677643,20.2772963604853
6,-2.61437908496732,-8.82352941176471,3.92156862745099,8.49673202614378,-16.0130718954248,1.96078431372548,-9.15032679738562,22.8758169934641,16.3398692810458,30.3921568627451,31.3725490196078,11.1111111111111,23.8562091503268,14.7058823529412,6.20915032679739,14.3790849673203,10.4575163398693,7.84313725490196
7,-3.61990950226244,-5.65610859728507,2.71493212669682,8.8235294117647,-14.9321266968326,2.71493212669682,-8.1447963800905,15.6108597285068,14.9321266968326,23.3031674208145,32.579185520362,7.23981900452488,23.5294117647059,11.5384615384615,5.65610859728507,15.6108597285068,11.3122171945701,9.72850678733033
8,-2.27272727272727,-4.09090909090909,3.40909090909092,8.18181818181818,-12.0454545454545,5.45454545454545,-8.63636363636363,13.6363636363636,12.0454545454545,19.0909090909091,24.5454545454545,4.54545454545454,21.3636363636364,5.90909090909091,8.86363636363636,15.6818181818182,11.8181818181818,11.3636363636364
9,-0.556586270871984,-3.33951762523191,2.04081632653061,8.5343228200371,-10.9461966604824,6.49350649350648,-8.16326530612245,13.543599257885,8.90538033395176,16.8831168831169,21.1502782931354,4.26716141001855,19.2949907235622,3.71057513914657,9.46196660482375,15.2133580705009,13.1725417439703,12.6159554730983
10,1.96428571428571,-3.21428571428571,1.42857142857142,7.32142857142857,-13.0357142857143,5.17857142857143,-12.1428571428571,16.25,10.1785714285714,17.8571428571429,22.8571428571429,2.32142857142856,21.25,2.67857142857142,7.85714285714285,14.1071428571429,12.1428571428571,9.28571428571427
11,-0.990099009900991,-3.96039603960396,1.76017601760177,3.52035203520351,-11.2211221122112,4.5104510451045,-11.1111111111111,11.7711771177118,7.59075907590758,14.7414741474147,16.8316831683168,1.65016501650166,18.0418041804181,1.21012101210121,8.36083608360836,12.3212321232123,10.01100110011,9.13091309130913
12,-0.22650056625142,-2.15175537938845,0.679501698754237,3.85050962627407,-7.92751981879954,2.71800679501699,-7.92751981879954,8.26727066817667,7.02151755379388,10.8720271800679,13.5900339750849,1.69875424688561,13.1370328425821,1.92525481313703,6.11551528878822,8.26727066817667,6.90826727066818,6.22876557191392
13,0.357462019660404,-4.64700625558534,3.75335120643432,4.91510277033065,-10.6344950848972,3.57462019660411,-10.9025915996425,10.2770330652368,5.18319928507596,14.8346738159071,16.6219839142091,1.07238605898123,14.8346738159071,0.71492403932083,6.25558534405719,10.2770330652368,7.95352993744414,7.32797140303842
